a,b
"355.95","351.25"
"357.31","354.48"
"360.00","357.23"
"360.56","358.07"
"362.61","358.18"
"363.03","360.25"
"362.46","360.05"
"363.19","361.24"
"362.64","359.58"
"362.12","359.21"
"361.52","358.30"
"360.43","358.42"
"360.24","355.30"
"357.83","353.79"
"356.60","352.29"
"357.45","351.89"
"353.02","350.85"
"353.67","351.02"
"357.49","354.21"
"360.41","356.76"
"362.15","359.04"
"364.05","356.38"
"358.00","354.20"
"361.14","357.00"
"362.55","359.09"
"361.66","355.12"
"357.20","353.63"
"358.26","355.41"
"357.77","356.08"
"357.08","355.50"
"358.68","356.73"
"357.86","355.31"
"362.57","355.94"
"367.85","361.07"
"369.37","363.41"
"366.30","364.19"
"368.30","364.20"
"368.00","364.77"
"368.83","365.75"
"367.89","362.13"
"366.85","362.57"
"363.60","359.89"
"362.53","357.98"
"362.64","358.30"
"368.31","361.02"
"369.27","366.53"
"372.42","367.71"
"377.79","372.03"
"380.99","377.89"
"385.73","380.00"
"385.70","379.17"
"387.64","380.08"
"387.92","383.55"
"386.55","381.48"
"392.07","386.44"
"393.37","389.29"
"393.93","390.00"
"399.15","394.36"
"398.65","394.85"
"398.36","395.82"
"399.48","396.19"
"399.71","392.10"
"398.86","393.55"
"404.27","398.30"
"406.74","402.59"
"411.11","406.06"
"409.48","406.70"
"416.26","411.00"
"420.56","416.52"
"430.00","408.85"
"409.96","401.71"
"414.67","407.71"
"413.79","408.38"
"410.39","405.45"
"405.95","401.43"
"403.33","398.78"
"407.44","401.70"
"406.40","399.57"
"403.36","400.01"
"405.01","402.74"
"407.20","404.10"
"409.00","404.15"
"409.08","403.34"
"408.46","402.50"
"410.60","406.00"
"412.19","408.09"
"416.31","411.55"
"417.83","413.51"
"414.35","411.40"
"411.07","408.92"
"412.66","408.60"
"417.21","413.40"
"421.44","415.85"
"421.66","417.81"
"421.01","418.09"
"421.91","418.52"
"424.52","414.55"
"419.27","415.41"
"418.57","415.63"
"417.32","412.12"
"413.56","407.53"
"411.15","404.05"
"407.21","401.44"
"409.06","399.86"
"401.25","396.50"
"399.28","395.66"
"402.99","399.10"
"405.57","400.17"
"411.35","406.25"
"410.72","405.64"
"407.62","403.88"
"406.14","400.35"
"404.75","401.41"
"404.87","400.08"
"400.60","396.37"
"402.32","396.35"
"401.56","397.88"
"404.50","399.21"
"405.15","399.26"
"407.26","403.61"
"407.23","403.75"
"408.87","405.46"
"412.38","409.20"
"414.30","410.19"
"411.56","408.17"
"413.40","410.10"
"416.34","412.91"
"417.33","413.70"
"417.28","412.62"
"415.70","412.56"
"417.26","412.96"
"413.25","404.87"
"407.96","405.50"
"408.24","401.87"
"405.87","401.58"
"409.04","402.77"
"415.40","406.88"
"416.72","408.78"
"415.89","406.44"
"410.28","405.77"
"411.24","407.38"
"415.88","409.85"
"413.94","409.27"
"408.91","406.11"
"411.89","407.16"
"408.00","403.57"
"406.34","403.33"
"407.82","403.55"
"408.50","405.28"
"411.00","404.05"
"410.47","407.68"
"417.00","410.00"
"414.25","409.62"
"410.68","407.25"
"410.26","406.34"
"410.05","405.79"
"409.67","403.82"
"407.39","403.92"
"407.16","404.22"
"411.40","405.03"
"413.79","408.00"
"413.71","408.64"
"413.96","409.40"
"419.20","412.00"
"427.45","419.70"
"434.71","425.30"
"439.05","434.02"
"446.15","437.84"
"449.25","439.57"
"442.80","433.35"
"438.11","432.12"
"437.92","433.47"
"435.41","430.73"
"439.63","431.60"
"439.00","434.10"
"439.44","435.49"
"443.89","439.14"
"440.85","437.74"
"440.61","430.95"
"436.25","423.49"
"417.82","406.11"
"427.46","415.10"
"433.17","425.60"
"432.26","427.60"
"434.75","430.21"
"434.16","429.01"
"432.81","425.90"
"438.98","431.71"
"442.59","438.72"
"445.20","440.45"
"450.45","445.73"
"450.50","446.38"
"451.28","443.84"
"449.60","444.65"
"453.72","448.81"
"459.27","453.34"
"462.10","454.62"
"466.60","460.78"
"469.85","463.00"
"476.95","470.00"
"482.89","473.72"
"484.82","474.22"
"479.43","462.88"
"468.17","458.55"
"466.00","459.26"
"464.32","456.21"
"457.62","445.25"
"455.00","449.27"
"452.43","447.21"
"452.99","448.34"
"461.10","453.29"
"459.84","454.88"
"462.19","457.25"
"457.95","454.05"
"459.65","453.42"
"455.60","451.77"
"455.81","451.21"
"457.00","451.34"
"458.27","455.04"
"460.63","454.55"
"459.79","454.82"
"458.70","454.19"
"455.97","450.92"
"462.18","453.81"
"462.34","452.41"
"457.56","452.85"
"457.88","452.36"
"457.51","452.72"
"463.45","455.90"
"462.00","458.10"
"466.66","460.51"
"466.00","462.20"
"467.84","464.27"
"467.00","463.25"
"465.79","461.68"
"465.15","457.60"
"463.26","458.75"
"461.05","453.96"
"459.45","453.03"
"459.24","455.00"
"458.92","454.39"
"457.67","453.82"
"456.84","450.57"
"455.12","450.70"
"450.70","437.90"
"445.23","441.10"
"469.26","459.48"
"468.46","460.10"
"466.35","459.50"
"470.51","464.00"
"468.42","465.15"
"468.40","464.00"
"469.45","466.00"
