a,b
0,14
1,17
2,20
3,23
4,26
5,29
6,32
7,35
8,38
9,41
10,44
11,47
12,50
13,53
14,56
15,59
16,62
17,65
18,68
19,71
20,74
21,77
22,80
23,83
24,86
25,89
26,92
27,95
28,98
29,101
30,104
31,107
32,110
33,113
34,116
35,119
36,122
37,125
38,128
39,131
40,134
41,137
42,140
43,143
44,146
45,149
46,152
47,155
48,158
49,161
50,164
51,167
52,170
53,173
54,176
55,179
56,182
57,185
58,188
59,191
60,194
61,197
62,200
63,203
64,206
65,209
66,212
67,215
68,218
69,221
70,224
71,227
72,230
73,233
74,236
75,239
76,242
77,245
78,248
79,251
80,254
81,257
82,260
83,263
84,266
85,269
86,272
87,275
88,278
89,281
90,284
91,287
92,290
93,293
94,296
95,299
96,302
97,305
98,308
99,311
100,314
101,317
102,320
103,323
104,326
105,329
106,332
107,335
108,338
109,341
110,344
111,347
112,350
113,353
114,356
115,359
116,362
117,365
118,368
119,371
120,374
121,377
122,380
123,383
124,386
125,389
126,392
127,395
128,398
129,401
130,404
131,407
132,410
133,413
134,416
135,419
136,422
137,425
138,428
139,431
140,434
141,437
142,440
143,443
144,446
145,449
146,452
147,455
148,458
149,461
150,464
151,467
152,470
153,473
154,476
155,479
156,482
157,485
158,488
159,491
160,494
161,497
162,500
163,503
164,506
165,509
166,512
167,515
168,518
169,521
170,524
171,527
172,530
173,533
174,536
175,539
176,542
177,545
178,548
179,551
180,554
181,557
182,560
183,563
184,566
185,569
186,572
187,575
188,578
189,581
190,584
191,587
192,590
193,593
194,596
195,599
196,602
197,605
198,608
199,611
200,614
201,617
202,620
203,623
204,626
205,629
206,632
207,635
208,638
209,641
210,644
211,647
212,650
213,653
214,656
215,659
216,662
217,665
218,668
219,671
220,674
221,677
222,680
223,683
224,686
225,689
226,692
227,695
228,698
229,701
230,704
231,707
232,710
233,713
234,716
235,719
236,722
237,725
238,728
239,731
240,734
241,737
242,740
243,743
244,746
245,749
246,752
247,755
248,758
249,761
250,764
251,767
252,770
253,773
254,776
255,779
256,782
257,785
258,788
259,791
260,794
261,797
262,800
263,803
264,806
265,809
266,812
267,815
268,818
269,821
270,824
271,827
272,830
273,833
274,836
275,839
276,842
277,845
278,848
279,851
280,854
281,857
282,860
283,863
284,866
285,869
286,872
287,875
288,878
289,881
290,884
291,887
292,890
293,893
294,896
295,899
296,902
297,905
298,908
299,911
300,914
301,917
302,920
303,923
304,926
305,929
306,932
307,935
308,938
309,941
310,944
311,947
312,950
313,953
314,956
315,959
316,962
317,965
318,968
319,971
320,974
321,977
322,980
323,983
324,986
325,989
326,992
327,995
328,998
329,1001
330,1004
331,1007
332,1010
333,1013
334,1016
335,1019
336,1022
337,1025
338,1028
339,1031
340,1034
341,1037
342,1040
343,1043
344,1046
345,1049
346,1052
347,1055
348,1058
349,1061
350,1064
351,1067
