a,b
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
2,0
0,4
3,3
1,2
4,1
