a,b
314,310.86
310.86,313.96860000000004
313.96860000000004,317.108286
317.108286,313.93720314
313.93720314,317.0765751714
317.0765751714,320.247340923114
320.247340923114,317.0448675138829
317.0448675138829,320.2153161890217
320.2153161890217,323.4174693509119
323.4174693509119,320.18329465740277
320.18329465740277,323.3851276039768
323.3851276039768,326.6189788800166
326.6189788800166,323.35278909121644
323.35278909121644,326.5863169821286
326.5863169821286,329.8521801519499
329.8521801519499,326.5536583504304
326.5536583504304,329.8191949339347
329.8191949339347,333.11738688327404
333.11738688327404,329.7862130144413
329.7862130144413,333.0840751445857
333.0840751445857,336.4149158960316
336.4149158960316,333.0507667370713
333.0507667370713,336.381274404442
336.381274404442,339.74508714848645
339.74508714848645,336.3476362770016
336.3476362770016,339.7111126397716
339.7111126397716,343.1082237661693
343.1082237661693,339.6771415285076
339.6771415285076,343.07391294379266
343.07391294379266,346.5046520732306
346.5046520732306,343.0396055524983
343.0396055524983,346.47000160802327
346.47000160802327,349.9347016241035
349.9347016241035,346.4353546078625
346.4353546078625,349.8997081539411
349.8997081539411,353.3987052354805
353.3987052354805,349.8647181831257
349.8647181831257,353.36336536495696
353.36336536495696,356.89699901860655
356.89699901860655,353.3280290284205
353.3280290284205,356.8613093187047
356.8613093187047,360.4299224118917
360.4299224118917,356.8256231877728
356.8256231877728,360.39387941965055
360.39387941965055,363.99781821384704
363.99781821384704,360.3578400317086
360.3578400317086,363.96141843202565
363.96141843202565,367.6010326163459
367.6010326163459,363.9250222901824
363.9250222901824,367.56427251308423
367.56427251308423,371.2399152382151
371.2399152382151,367.52751608583293
367.52751608583293,371.2027912466913
371.2027912466913,374.9148191591582
374.9148191591582,371.1656709675666
371.1656709675666,374.87732767724225
374.87732767724225,378.62610095401465
378.62610095401465,374.8398399444745
374.8398399444745,378.5882383439192
378.5882383439192,382.3741207273584
382.3741207273584,378.5503795200848
378.5503795200848,382.3358833152856
382.3358833152856,386.15924214843847
386.15924214843847,382.2976497269541
382.2976497269541,386.12062622422366
386.12062622422366,389.9818324864659
389.9818324864659,386.08201416160125
386.08201416160125,389.94283430321724
389.94283430321724,393.8422626462494
393.8422626462494,389.9038400197869
389.9038400197869,393.8028784199848
393.8028784199848,397.7409072041846
397.7409072041846,393.7634981321428
393.7634981321428,397.7011331134642
397.7011331134642,401.67814444459884
401.67814444459884,397.66136300015285
397.66136300015285,401.63797663015436
401.63797663015436,405.6543563964559
405.6543563964559,401.59781283249134
401.59781283249134,405.61379096081623
405.61379096081623,409.66992887042437
409.66992887042437,405.5732295817201
405.5732295817201,409.62896187753734
409.62896187753734,413.7252514963127
413.7252514963127,409.5879989813496
409.5879989813496,413.6838789711631
413.6838789711631,417.82071776087474
417.82071776087474,413.642510583266
413.642510583266,417.77893568909866
417.77893568909866,421.95672504598963
421.95672504598963,417.73715779552975
417.73715779552975,421.91452937348504
421.91452937348504,426.1336746672199
426.1336746672199,421.8723379205477
421.8723379205477,426.09106129975316
426.09106129975316,430.3519719127507
430.3519719127507,426.0484521936232
426.0484521936232,430.3089367155594
430.3089367155594,434.61202608271503
434.61202608271503,430.2659058218879
430.2659058218879,434.56856488010675
434.56856488010675,438.9142505289078
438.9142505289078,434.5251080236187
434.5251080236187,438.8703591038549
438.8703591038549,443.2590626948935
443.2590626948935,438.82647206794456
438.82647206794456,443.214736788624
443.214736788624,447.6468841565102
447.6468841565102,443.1704153149451
443.1704153149451,447.60211946809454
447.60211946809454,452.07814066277547
452.07814066277547,447.5573592561477
